movieId,userId,genres,title,tag,timestamp,rating
1,1,Adventure|Animation|Children|Comedy|Fantasy,Toy Story (1995),funny,964982703,4
2,1,Adventure|Children|Fantasy,Jumanji (1995),Highly quotable,964981247,4
3,1,Comedy|Romance,Grumpier Old Men (1995),will ferrell,964982224,4
4,1,Comedy|Drama|Romance,Waiting to Exhale (1995),Boxing story,964983815,5
5,1,Comedy,Father of the Bride Part II (1995),MMA,964982931,5
6,1,Action|Crime|Thriller,Heat (1995),Tom Hardy,964982400,3
7,1,Comedy|Romance,Sabrina (1995),drugs,964980868,5
8,1,Adventure|Children,Tom and Huck (1995),Leonardo DiCaprio,964982176,4
9,1,Action,Sudden Death (1995),Martin Scorsese,964984041,5
10,1,Action|Adventure|Thriller,GoldenEye (1995),way too long,964984100,5
11,1,Comedy|Drama|Romance,"American President, The (1995)",Al Pacino,964983650,5
12,1,Comedy|Horror,Dracula: Dead and Loving It (1995),gangster,964981208,5
13,1,Adventure|Animation|Children,Balto (1995),mafia,964980985,3
14,1,Drama,Nixon (1995),Al Pacino,964981179,5
15,1,Action|Adventure|Romance,Cutthroat Island (1995),Mafia,964980908,4
16,1,Crime|Drama,Casino (1995),holocaust,964981680,5
17,1,Drama|Romance,Sense and Sensibility (1995),true story,964982967,3
18,1,Comedy,Four Rooms (1995),twist ending,964982310,3
19,1,Comedy,Ace Ventura: When Nature Calls (1995),Anthony Hopkins,964981179,5
20,1,Action|Comedy|Crime|Drama|Thriller,Money Train (1995),courtroom drama,964982563,4
21,1,Comedy|Crime|Thriller,Get Shorty (1995),twist ending,964980962,4
22,1,Crime|Drama|Horror|Mystery|Thriller,Copycat (1995),britpop,964982588,5
23,1,Action|Crime|Thriller,Assassins (1995),indie record label,964981710,4
24,1,Drama|Sci-Fi,Powder (1995),music,964982363,3
25,1,Drama|Romance,Leaving Las Vegas (1995),dumpster diving,964980868,4
26,1,Drama,Othello (1995),Sustainability,964981909,5
27,1,Children|Drama,Now and Then (1995),romantic comedy,964982346,4
28,1,Drama|Romance,Persuasion (1995),wedding,964981208,3
29,1,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",painter,964984002,5
30,1,Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),bloody,964981179,4
31,1,Drama,Dangerous Minds (1995),black hole,964982653,4
32,1,Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),sci-fi,964984153,5
34,1,Children|Drama,Babe (1995),time-travel,964982546,4
36,1,Crime|Drama,Dead Man Walking (1995),fantasy,964982271,4
38,1,Children|Comedy,It Takes Two (1995),magic board game,964983793,4
39,1,Comedy|Romance,Clueless (1995),Robin Williams,964982838,5
40,1,Drama,"Cry, the Beloved Country (1995)",beautiful scenery,964982931,5
41,1,Drama|War,Richard III (1995),epic,964982563,3
42,1,Action|Crime|Drama,Dead Presidents (1995),historical,964982838,5
43,1,Drama,Restoration (1995),inspirational,964981775,3
44,1,Action|Adventure|Fantasy,Mortal Kombat (1995),Medieval,964982400,4
45,1,Comedy|Drama|Thriller,To Die For (1995),mel gibson,964982653,3
46,1,Drama|Romance,How to Make an American Quilt (1995),Oscar (Best Cinematography),964984086,3
47,1,Mystery|Thriller,Seven (a.k.a. Se7en) (1995),revenge,964980499,4
48,1,Animation|Children|Drama|Musical|Romance,Pocahontas (1995),sword fight,964982475,5
49,1,Drama|Romance,When Night Is Falling (1995),black comedy,964981529,5
50,1,Crime|Mystery|Thriller,"Usual Suspects, The (1995)",Christina Ricci,964982176,5
52,1,Comedy|Drama|Romance,Mighty Aphrodite (1995),Christopher Lloyd,964983614,4
53,1,Adventure|Drama,Lamerica (1994),dark comedy,964983219,5
54,1,Children|Comedy,"Big Green, The (1995)",family,964981775,3
55,1,Drama,Georgia (1995),gothic,964982681,5
57,1,Drama,Home for the Holidays (1995),Al Pacino,964982876,5
58,1,Comedy|Drama|Romance,"Postman, The (Postino, Il) (1994)",Andy Garcia,964982791,5
60,1,Adventure|Children|Fantasy,"Indian in the Cupboard, The (1995)",Classic,964982855,5
61,1,Drama|Thriller,Eye for an Eye (1996),Francis Ford Coppola,964982903,3
62,1,Drama,Mr. Holland's Opus (1995),mafia,964982653,5
63,1,Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),black comedy,964982791,5
64,1,Comedy|Romance,Two if by Sea (1996),Christina Ricci,964981179,4
65,1,Comedy,Bio-Dome (1996),Christopher Lloyd,964982400,5
66,1,Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),Family,964980924,4
68,1,Comedy|Romance,French Twist (Gazon maudit) (1995),gothic,964981680,5
69,1,Comedy,Friday (1995),quirky,964981327,5
70,1,Action|Comedy|Horror|Thriller,From Dusk Till Dawn (1996),family,964982951,5
71,1,Action,Fair Game (1995),funny,964984018,4
72,1,Comedy|Drama,Kicking and Screaming (1995),Macaulay Culkin,964983484,5
73,1,Drama|War,"Misérables, Les (1995)",sequel,964981680,5
74,1,Drama|Romance,Bed of Roses (1996),animation,964982513,4
75,1,Comedy|Drama,Big Bully (1996),Disney,964981327,5
76,1,Action|Sci-Fi|Thriller,Screamers (1995),funny,964981827,5
77,1,Documentary,Nico Icon (1995),original,964981872,5
